Date,EUR,JPY,GBP,AUD,CAD,CHF,CNY,SEK,NZD,MXN,INR
21-12-2018,0.873,111.32,0.7886,1.4058,1.3506,0.987,6.9012,8.9612,1.4799,19.8773,70.046
20-12-2018,0.8729,111.18,0.7891,1.4052,1.3499,0.9871,6.8851,8.9672,1.4753,19.8719,70.325
19-12-2018,0.879,112.48,0.793,1.4069,1.3485,0.9946,6.8922,9.0966,1.4781,20.116,70.278
18-12-2018,0.8801,112.53,0.7909,1.3923,1.3465,0.9927,6.8951,9.07,1.4605,20.08,70.62
17-12-2018,0.8812,112.83,0.792,1.3926,1.3405,0.993,6.8972,9.0586,1.4704,20.0775,71.61
16-12-2018,0.8845,113.4,0.7946,1.3937,1.3388,0.9977,6.9076,9.0618,1.4724,20.1573,71.92
15-12-2018,0.88435,113.395,0.7946,1.39355,1.3386,0.99775,6.90765,9.061,1.4718,20.19895,71.92
14-12-2018,0.8842,113.39,0.7946,1.3934,1.3384,0.9978,6.9077,9.0602,1.4712,20.2406,71.92
13-12-2018,0.88,113.64,0.7901,1.3837,1.3352,0.9942,6.8816,9.0566,1.4582,20.3155,71.53
12-12-2018,0.8797,113.28,0.7919,1.3847,1.3351,0.9936,6.88,9.087,1.458,20.0795,71.84
11-12-2018,0.8836,113.39,0.8007,1.3877,1.339,0.9935,6.9,9.0895,1.4538,20.206,72.29
10-12-2018,0.8806,113.34,0.796,1.3907,1.3395,0.9905,6.9117,9.0954,1.4554,20.31,72.52
09-12-2018,0.8772,112.52,0.7862,1.3925,1.3329,0.9899,6.8757,9.0409,1.4613,20.2904,71.375
08-12-2018,0.87805,112.625,0.7859,1.3907,1.3325,0.9902,6.8757,9.0414,1.4587,20.2786,71.1175
07-12-2018,0.8789,112.73,0.7856,1.3889,1.3321,0.9905,6.8757,9.0419,1.4561,20.2668,70.86
06-12-2018,0.8791,112.67,0.7822,1.382,1.338,0.9929,6.8827,8.988,1.4544,20.352,70.85
05-12-2018,0.8814,113.19,0.7853,1.3757,1.3354,0.9977,6.8567,8.9789,1.4496,20.502,70.56
04-12-2018,0.8814,112.78,0.7862,1.3626,1.3261,0.9975,6.8373,9.0193,1.4432,20.5135,70.53
03-12-2018,0.8808,113.67,0.7859,1.3592,1.3197,0.9978,6.883,9.0132,1.4434,20.3625,70.44
02-12-2018,0.8816,113.77,0.7842,1.3561,1.3256,0.9987,6.959,9.0695,1.4471,20.1672,69.77
01-12-2018,0.88265,113.62,0.78405,1.36135,1.3276,0.9988,6.95975,9.088,1.45005,20.2862,69.71
30-11-2018,0.8837,113.47,0.7839,1.3666,1.3296,0.9989,6.9605,9.1065,1.453,20.4052,69.65
29-11-2018,0.8778,113.48,0.7815,1.3663,1.3283,0.9959,6.9425,9.0663,1.4582,20.24,69.78
28-11-2018,0.8798,113.69,0.7797,1.3688,1.3276,0.9938,6.9539,9.0373,1.4554,20.2963,70.64
27-11-2018,0.8859,113.78,0.7843,1.3843,1.3295,0.9989,6.9515,9.1071,1.4732,20.4782,70.785
26-11-2018,0.8828,113.59,0.7792,1.3848,1.3252,0.9986,6.9408,9.0943,1.477,20.6175,70.82
25-11-2018,0.8821,112.91,0.7805,1.3829,1.3228,0.9973,6.9485,9.0919,1.4768,20.4077,70.675
24-11-2018,0.8819,112.93,0.78045,1.3824,1.32325,0.997,6.9485,9.0924,1.47575,20.40885,70.665
23-11-2018,0.8817,112.95,0.7804,1.3819,1.3237,0.9967,6.9485,9.0929,1.4747,20.41,70.655
22-11-2018,0.8766,112.94,0.7765,1.3784,1.319,0.995,6.9319,9.0409,1.4675,20.3125,70.69
21-11-2018,0.8783,113.06,0.7826,1.3769,1.3231,0.9949,6.927,9.0428,1.4635,20.246,71.305
20-11-2018,0.8794,112.77,0.782,1.3862,1.3306,0.995,6.9452,9.0937,1.4726,20.359,71.43
19-11-2018,0.8731,112.56,0.7782,1.3709,1.3171,0.9936,6.942,9.0043,1.4624,20.3795,71.61
18-11-2018,0.8762,112.72,0.7791,1.3665,1.3148,0.9994,6.938,9.0072,1.4574,20.1431,71.785
17-11-2018,0.87595,112.775,0.779,1.3648,1.3147,0.99965,6.938,9.00645,1.45565,20.1469,71.8825
16-11-2018,0.8757,112.83,0.7789,1.3631,1.3146,0.9999,6.938,9.0057,1.4539,20.1507,71.98
15-11-2018,0.8828,113.64,0.7822,1.3743,1.3178,1.0071,6.9393,9.0639,1.4644,20.232,71.915
14-11-2018,0.8841,113.62,0.7694,1.3819,1.3239,1.0058,6.9505,9.0852,1.4708,20.41,72.31
